Location,Count,SumEvaporation,CountEvaporation,MeanEvaporation,SumSunshine,CountSunshine,MeanSunshine,SumCloud9am,CountCloud9am,MeanCloud9am,SumCloud3pm,CountCloud3pm,MeanCloud3pm
Adelaide,1358,4015.6000000000013,718,5.592757660167132,4987.099999999999,757,6.587978863936591,0.0,0,nan,0.0,0,nan
Albany,1487,5321.6999999999925,1343,3.962546537602377,7183.700000000003,1230,5.840406504065043,8011.0,1467,5.460804362644853,6209.0,1145,5.422707423580786
Albury,1325,0.0,0,nan,0.0,0,nan,4636.0,686,6.75801749271137,4649.0,778,5.9755784061696655
AliceSprings,1022,8618.399999999994,958,8.996242171189973,7395.000000000001,854,8.659250585480095,3159.0,921,3.429967426710098,3588.0,923,3.887323943661972
BadgerysCreek,1263,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Ballarat,1446,0.0,0,nan,0.0,0,nan,7588.0,1220,6.219672131147541,7083.0,1083,6.54016620498615
Bendigo,1314,1819.2999999999995,508,3.581299212598424,0.0,0,nan,4836.0,959,5.042752867570385,5630.0,1035,5.4396135265700485
Brisbane,1421,7555.6,1414,5.343422913719944,9769.400000000005,1396,6.998137535816623,6477.0,1421,4.558057705840957,6553.0,1420,4.614788732394366
Cairns,1548,8085.500000000005,1341,6.029455630126774,8346.800000000003,1312,6.361890243902441,7646.0,1462,5.2298221614227085,7498.0,1454,5.156808803301238
Canberra,1408,3386.8,781,4.336491677336748,4286.699999999997,656,6.5346036585365805,5419.0,1030,5.261165048543689,5334.0,984,5.420731707317073
Cobar,1180,6718.099999999998,1058,6.349810964083174,1729.3000000000004,229,7.551528384279478,4185.0,1055,3.9668246445497632,4823.0,1082,4.457486136783734
CoffsHarbour,1472,3622.4000000000015,926,3.9118790496760276,4839.899999999998,797,6.072647427854451,5761.0,1145,5.031441048034934,6284.0,1192,5.271812080536913
Dartmoor,1497,3995.700000000001,1288,3.102251552795032,6987.800000000001,1263,5.532699920823437,0.0,0,nan,0.0,0,nan
Darwin,1572,9343.500000000005,1535,6.086970684039091,11568.299999999996,1570,7.368343949044583,7934.0,1571,5.0502864417568425,8008.0,1571,5.097390197326543
GoldCoast,1414,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Hobart,1497,5265.6,1492,3.529222520107239,8740.90000000001,1491,5.8624413145539975,4916.0,958,5.1315240083507305,5094.0,955,5.334031413612565
Katherine,631,4129.2,574,7.193728222996516,0.0,0,nan,2075.0,612,3.3905228758169934,1330.0,335,3.970149253731343
Launceston,1372,437.0,67,6.522388059701493,0.0,0,nan,2328.0,354,6.576271186440678,2288.0,365,6.2684931506849315
Melbourne,1188,5406.799999999999,1188,4.55117845117845,6644.900000000001,1188,5.5933501683501685,5464.0,969,5.638802889576883,5481.0,943,5.812301166489926
MelbourneAirport,1311,5953.699999999999,1309,4.548281130634071,7121.400000000011,1310,5.436183206106878,7227.0,1311,5.5125858123569795,7512.0,1311,5.729977116704806
Mildura,1084,6184.200000000002,1035,5.975072463768117,7957.89999999999,1031,7.718622696411241,4170.0,1057,3.945127719962157,4626.0,1036,4.4652509652509655
Moree,1101,6349.699999999998,870,7.298505747126434,6187.399999999995,798,7.753634085213027,3694.0,940,3.929787234042553,4443.0,980,4.533673469387755
MountGambier,1505,4135.699999999997,1287,3.2134421134421114,6979.400000000003,1261,5.534813639968282,8557.0,1450,5.9013793103448275,8770.0,1463,5.994531784005468
MountGinini,1428,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Newcastle,1354,0.0,0,nan,0.0,0,nan,6011.0,1265,4.751778656126482,4857.0,950,5.112631578947369
Nhil,617,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
NorahHead,1402,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
NorfolkIsland,1525,6410.099999999998,1411,4.5429482636428045,8220.600000000002,1327,6.194875659382067,7911.0,1496,5.288101604278075,7947.0,1508,5.269893899204244
Nuriootpa,1290,5606.000000000005,1232,4.550324675324679,7884.599999999997,1217,6.478718159408379,6419.0,1229,5.222945484133442,5300.0,968,5.475206611570248
PearceRAAF,1132,0.0,0,nan,8598.600000000002,1131,7.602652519893901,3698.0,796,4.6457286432160805,3927.0,806,4.8722084367245655
Penrith,1262,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Perth,1414,7032.200000000002,1413,4.976786978060865,10806.19999999997,1413,7.64769992922857,5664.0,1413,4.008492569002123,5893.0,1413,4.170559094125973
PerthAirport,1235,6205.900000000004,1234,5.029092382495952,9290.599999999997,1232,7.541071428571426,5069.0,1235,4.104453441295546,5142.0,1235,4.163562753036437
Portland,1613,4261.999999999995,1387,3.072819033886082,7471.299999999999,1361,5.489566495224099,9350.0,1422,6.575246132208157,9184.0,1412,6.504249291784703
Richmond,1263,3444.4,666,5.1717717717717715,0.0,0,nan,1949.0,308,6.327922077922078,1767.0,303,5.8316831683168315
Sale,1319,2970.599999999997,809,3.671940667490726,4612.099999999998,800,5.765124999999997,6793.0,1194,5.6892797319933,6639.0,1181,5.621507197290432
SalmonGums,1187,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Sydney,1562,7652.700000000006,1524,5.0214566929133895,8933.400000000016,1551,5.759767891682795,6235.0,1280,4.87109375,6533.0,1283,5.091971940763835
SydneyAirport,1419,6979.799999999996,1384,5.043208092485546,8396.600000000008,1412,5.9466005665722435,6971.0,1418,4.91607898448519,7193.0,1419,5.069062720225511
Townsville,1282,8676.9,1222,7.100572831423895,8243.700000000006,1108,7.440162454873652,5897.0,1218,4.841543513957307,5516.0,1187,4.647009267059815
Tuggeranong,1267,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Uluru,526,0.0,0,nan,0.0,0,nan,797.0,135,5.9037037037037035,875.0,169,5.177514792899408
WaggaWagga,1218,5751.200000000003,1170,4.9155555555555575,7150.499999999998,1040,6.875480769230768,5282.0,1151,4.589052997393571,5630.0,1172,4.803754266211604
Walpole,1494,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Watsonia,1402,6408.300000000002,1401,4.574089935760172,7603.400000000015,1402,5.423252496433677,7804.0,1402,5.566333808844508,7964.0,1402,5.680456490727532
Williamtown,1244,5609.20000000001,846,6.630260047281335,3985.7000000000007,668,5.966616766467067,5451.0,1051,5.186489058039962,5223.0,1029,5.075801749271137
Witchcliffe,1518,0.0,0,nan,0.0,0,nan,0.0,0,nan,0.0,0,nan
Wollongong,1378,0.0,0,nan,0.0,0,nan,4796.0,744,6.446236559139785,5071.0,798,6.354636591478696
Woomera,987,8990.699999999995,856,10.503154205607471,5572.5999999999985,654,8.520795107033637,2605.0,878,2.9669703872437356,2685.0,795,3.3773584905660377
